Cell_Index,Final_U
0,0.0000000000
1,0.0000000000
2,0.0000000000
3,0.0000000000
4,0.0000000000
5,0.0000000000
6,0.0000000000
7,0.0000000000
8,0.0000000000
9,0.0000000000
10,0.0000000000
11,0.0000000000
12,0.0000000000
13,0.0000000000
14,0.0000000000
15,0.0000000000
16,0.0000000000
17,0.0000000000
18,0.0000000000
19,0.0000000000
20,0.0000000000
21,0.0000000000
22,0.0000000000
23,0.0000000000
24,0.0000000000
25,0.0000000000
26,0.0000000000
27,0.0000000000
28,0.0000000000
29,0.0000000000
30,0.0000000000
31,0.0000000000
32,0.0000000000
33,0.0000000000
34,0.0000000000
35,0.0000000000
36,0.0000000000
37,0.0000000000
38,0.0000000000
39,0.0000000000
40,0.0000000000
41,0.0000000000
42,0.0000000000
43,0.0000000000
44,0.0000000000
45,0.0000000000
46,0.0000000000
47,0.0000000000
48,0.0000000000
49,0.0000000000
50,0.0000000000
51,0.0000000000
52,0.0000000000
53,0.0000000000
54,0.0000000000
55,0.0000000000
56,0.0000000000
57,0.0000000000
58,0.0000000000
59,0.0000000000
60,0.0000000000
61,0.0000000000
62,0.0000000000
63,0.0000000000
64,0.0000000000
65,0.0000000000
66,0.0000000000
67,0.0000000000
68,0.0000000000
69,0.0000000001
70,0.0000000006
71,0.0000000022
72,0.0000000080
73,0.0000000276
74,0.0000000905
75,0.0000002818
76,0.0000008337
77,0.0000023462
78,0.0000062896
79,0.0000160800
80,0.0000392507
81,0.0000915716
82,0.0002043885
83,0.0004368597
84,0.0008949648
85,0.0017588199
86,0.0033185589
87,0.0060164859
88,0.0104893651
89,0.0176000949
90,0.0284439605
91,0.0443130285
92,0.0666052923
93,0.0966739357
94,0.1356264800
95,0.1841007620
96,0.2420591414
97,0.3086495996
98,0.3821766376
99,0.4602052867
100,0.5397944450
101,0.6178231239
102,0.6913502216
103,0.7579407692
104,0.8158991933
105,0.8643735647
106,0.9033260942
107,0.9333947301
108,0.9556869864
109,0.9715560675
110,0.9823999405
111,0.9895106554
112,0.9939835072
113,0.9966814518
114,0.9982411265
115,0.9991049767
116,0.9995630980
117,0.9997954965
118,0.9999083877
119,0.9999606609
120,0.9999838471
121,0.9999936223
122,0.9999974370
123,0.9999989271
124,0.9999993443
125,0.9999994040
126,0.9999989867
127,0.9999975562
128,0.9999936819
129,0.9999839067
130,0.9999607205
131,0.9999084473
132,0.9997956157
133,0.9995630980
134,0.9991049767
135,0.9982411861
136,0.9966814518
137,0.9939835072
138,0.9895105958
139,0.9823998809
140,0.9715560079
141,0.9556868672
142,0.9333946109
143,0.9033260345
144,0.8643735051
145,0.8158993125
146,0.7579408884
147,0.6913504601
148,0.6178234220
149,0.5397947431
150,0.4602054656
151,0.3821767569
152,0.3086497486
153,0.2420592457
154,0.1841008365
155,0.1356265545
156,0.0966739804
157,0.0666053295
158,0.0443130508
159,0.0284439735
160,0.0176001042
161,0.0104893707
162,0.0060164900
163,0.0033185617
164,0.0017588218
165,0.0008949656
166,0.0004368601
167,0.0002043887
168,0.0000915717
169,0.0000392507
170,0.0000160800
171,0.0000062896
172,0.0000023462
173,0.0000008337
174,0.0000002818
175,0.0000000905
176,0.0000000276
177,0.0000000080
178,0.0000000022
179,0.0000000006
180,0.0000000001
181,0.0000000000
182,0.0000000000
183,0.0000000000
184,0.0000000000
185,0.0000000000
186,0.0000000000
187,0.0000000000
188,0.0000000000
189,0.0000000000
190,0.0000000000
191,0.0000000000
192,0.0000000000
193,0.0000000000
194,0.0000000000
195,0.0000000000
196,0.0000000000
197,0.0000000000
198,0.0000000000
199,0.0000000000
