x,H
0.000000,0.073190
0.005000,0.074994
0.010000,0.076817
0.015000,0.078658
0.020000,0.080517
0.025000,0.082394
0.030000,0.084290
0.035000,0.086202
0.040000,0.088132
0.045000,0.090078
0.050000,0.092042
0.055000,0.094022
0.060000,0.096018
0.065000,0.098030
0.070000,0.100057
0.075000,0.102100
0.080000,0.104157
0.085000,0.106229
0.090000,0.108314
0.095000,0.110413
0.100000,0.112524
0.105000,0.114647
0.110000,0.116783
0.115000,0.118930
0.120000,0.121088
0.125000,0.123256
0.130000,0.125434
0.135000,0.127621
0.140000,0.129816
0.145000,0.132019
0.150000,0.134229
0.155000,0.136446
0.160000,0.138668
0.165000,0.140896
0.170000,0.143128
0.175000,0.145364
0.180000,0.147602
0.185000,0.149842
0.190000,0.152083
0.195000,0.154325
0.200000,0.156566
0.205000,0.158806
0.210000,0.161043
0.215000,0.163277
0.220000,0.165507
0.225000,0.167732
0.230000,0.169951
0.235000,0.172163
0.240000,0.174368
0.245000,0.176563
0.250000,0.178748
0.255000,0.180922
0.260000,0.183084
0.265000,0.185233
0.270000,0.187367
0.275000,0.189487
0.280000,0.191590
0.285000,0.193677
0.290000,0.195745
0.295000,0.197794
0.300000,0.199822
0.305000,0.201829
0.310000,0.203813
0.315000,0.205774
0.320000,0.207709
0.325000,0.209619
0.330000,0.211502
0.335000,0.213358
0.340000,0.215184
0.345000,0.216980
0.350000,0.218745
0.355000,0.220477
0.360000,0.222177
0.365000,0.223842
0.370000,0.225472
0.375000,0.227066
0.380000,0.228622
0.385000,0.230140
0.390000,0.231619
0.395000,0.233058
0.400000,0.234456
0.405000,0.235811
0.410000,0.237125
0.415000,0.238394
0.420000,0.239620
0.425000,0.240800
0.430000,0.241934
0.435000,0.243022
0.440000,0.244062
0.445000,0.245054
0.450000,0.245997
0.455000,0.246892
0.460000,0.247736
0.465000,0.248530
0.470000,0.249273
0.475000,0.249964
0.480000,0.250604
0.485000,0.251191
0.490000,0.251726
0.495000,0.252208
0.500000,0.252637
0.505000,0.253012
0.510000,0.253334
0.515000,0.253601
0.520000,0.253816
0.525000,0.253976
0.530000,0.254083
0.535000,0.254137
0.540000,0.254137
0.545000,0.254085
0.550000,0.253979
0.555000,0.253821
0.560000,0.253611
0.565000,0.253348
0.570000,0.253034
0.575000,0.252668
0.580000,0.252252
0.585000,0.251786
0.590000,0.251271
0.595000,0.250708
0.600000,0.250097
0.605000,0.249438
0.610000,0.248734
0.615000,0.247985
0.620000,0.247193
0.625000,0.246357
0.630000,0.245480
0.635000,0.244563
0.640000,0.243607
0.645000,0.242613
0.650000,0.241583
0.655000,0.240518
0.660000,0.239420
0.665000,0.238290
0.670000,0.237130
0.675000,0.235943
0.680000,0.234729
0.685000,0.233491
0.690000,0.232231
0.695000,0.230951
0.700000,0.229653
0.705000,0.228340
0.710000,0.227013
0.715000,0.225676
0.720000,0.224330
0.725000,0.222978
0.730000,0.221623
0.735000,0.220269
0.740000,0.218917
0.745000,0.217571
0.750000,0.216234
0.755000,0.214909
0.760000,0.213600
0.765000,0.212309
0.770000,0.211041
0.775000,0.209799
0.780000,0.208586
0.785000,0.207407
0.790000,0.206266
0.795000,0.205167
0.800000,0.204114
0.805000,0.203111
0.810000,0.202164
0.815000,0.201277
0.820000,0.200454
0.825000,0.199701
0.830000,0.199024
0.835000,0.198426
0.840000,0.197915
0.845000,0.197496
0.850000,0.197174
0.855000,0.196956
0.860000,0.196849
0.865000,0.196858
0.870000,0.196991
0.875000,0.197255
0.880000,0.197656
0.885000,0.198202
0.890000,0.198901
0.895000,0.199761
0.900000,0.200790
0.905000,0.201997
0.910000,0.203390
0.915000,0.204979
0.920000,0.206772
0.925000,0.208780
0.930000,0.211013
0.935000,0.213481
0.940000,0.216195
0.945000,0.219165
0.950000,0.222404
0.955000,0.225923
0.960000,0.229734
0.965000,0.233851
0.970000,0.238285
0.975000,0.243051
0.980000,0.248163
0.985000,0.253635
0.990000,0.259481
0.995000,0.265718
